Publication,Publisher,Date,Type,Event,Frequency
Aberdeen Live,Reach,Jul-21,Digital,Launch,
Aberdeen Live,Reach,Nov-21,Digital,Launch,
Arbroath Herald,JPI Media,May-21,Print,Closure,Weekly
Asian Standard Bradford,RF Publishing Ltd,Dec-20,Print,Launch,Weekly
Asian Standard Kirklees,RF Publishing Ltd,Dec-20,Print,Launch,Weekly
Asian Standard Leeds,RF Publishing Ltd,Feb-21,Print,Launch,Weekly
Asian Standard North-East,RF Publishing Ltd,Dec-20,Print,Launch,Weekly
Barnet Post,Social Spider Community Interest Company,Jul-21,Print,Launch,Monthly
Barnet Post,Social Spider Community Interest Company,Dec-20,Digital,Launch,
Bath Telegraph,Independent,Nov-20,Digital,Launch,
BedfordshireLive,Reach,Jan-21,Digital,Launch,
Belper News,JPI Media,Sep-20,Print,Closure,Weekly
Birmingham World,JPI Media ,Aug-21,Digital,Launch,
Brackley & Towcester Adversiter,JPI Media,Sep-20,Print,Closure,Weekly 
Bradley Stoke Journal,Independent,May-22,Print,Closure,Monthly
Brechin Advertiser,JPI Media,May-21,Print,Closure,Weekly
Bristol World,JPI Media,Sep-21,Digital,Launch,
Bubblewrap,Social Spider Community Interest Company,Aug-21,Digital,Launch,
Buckkinghamshire Live,Reach,Jan-21,Digital,Launch,
Cambs Times,Newsquest,Jul-22,Print,Closure,Weekly
Cheltenham Live,Reach,Mar-21,Digital,Launch,
Cheltenham Post,Independent,Nov-20,Print,Launch,Fortnightly
Darlington Live,Reach,Jul-21,Digital,Launch,
Dawlish Nub News,Nub News,Oct-20,Digital,Launch,
Devon Live,Reach,Jun-21,Digital,Launch,
Diss Mercury,Newsquest,Jul-22,Print,Closure,Weekly
Dorchester Nub News,Nub News,Jan-21,Digital,Launch,
Dunstable Gazette,JPI Media,Sep-20,Print,Closure,Weekly
Eastbourne Herald (Hailsham),JPI Media,Sep-20,Print,Closure,Weekly
Felixstowe Extra,Archant (now Newsquest),Feb-22,Print,Launch,Weekly
Felixstowe Extra,Newsquest,Jul-22,Print,Closure,Weekly
Forfar Dispatch,JPI Media,May-21,Print,Closure,Weekly
Glasgow World,JPI Media,Aug-21,Digital,Launch,
Gosport & Fareham Sunday Globe,Gosport Globe Community Publications CIC,Sep-20,Digital,Closure,
Guide and Gazette,JPI Media,May-21,Print,Closure,Weekly
Heartlands Voice,Independent Media,Feb-22,Print,Launch,Weekly
Hemsworth & South Elmsall Express,JPI Media,Sep-20,Print,Closure,Weekly
Hillingdon Herald,Brunel University,Oct-21,Print,Launch,Monthly
Ilkeston Advertiser,JPI Media,Sep-20,Print,Closure,Weekly
Kenilworth Weekly News,JPI Media,Sep-20,Print,Closure,Weekly
Kirriemuir Herald,JPI Media,May-21,Print,Closure,Weekly
Lancing Herald,JPI Media,Sep-20,Print,Closure,Weekly
Leicester Times,Pukaar Group,Jan-22,Print,Launch,Weekly
Lichfield Chronicle Week,Midlands News Association,Dec-21,Print,Closure,Weekly
Liskeard Voice,Independent Media,Feb-22,Print,Launch,Weekly
Liverpool World,JPI Media,Aug-21,Digital,Launch,
London World,JPI Media,Aug-21,Digital,Launch,
Malton & Pickering Mercury,JPI Media,Sep-20,Print,Closure,Weekly
Manchester Evening News Wigan,Reach,Jan-21,Print,Launch,Daily
Manchester World,JPI Media,Aug-21,Digital,Launch,
Montrose Review,JPI Media,May-21,Print,Closure,Weekly
MyDerry,Reach,Jul-21,Digital,Launch,
MyFermanagh,Reach,Jul-21,Digital,Launch,
MySuttonColdfield,Reach,May-21,Digital,Launch,
MyTyrone,Reach,Jul-21,Digital,Launch,
MyWirral,Reach,Dec-20,Digital,Launch,
Nainshire Telegraph,Independent,Dec-20,Print,Closure,Weekly
Nairnshire Courier,Highland News and Media,Jan-21,Print,Launch,Weekly
Newcastle World,JPI Media,Aug-21,Digital,Launch,
NN Journal,Independent,Jan-21,Digital,Launch,
Norfolk Live,Reach,May-21,Digital,Launch,
"Nub News, Kingston upon Thames",Nub News,Jan-21,Digital,Launch,
"Nub News, The Mumbles",Nub News,Jan-21,Digital,Launch,
"Nub News, Twickenham",Nub News,Jan-21,Digital,Launch,
Nuneaton Telegraph,Reach,Apr-22,Print,Closure,Daily
Oldham Evening Chronicle,Credible Media,Apr-21,Print,Launch,Weekly
